Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Has_CreditCard,LoanAmount,Loan_Amount_Term,Owns_House,Property_Area,Loan_Status
Other,Yes,2,Graduate,No,59779.0,46697.0,Yes,403,300,0,Semiurban,N
Male,No,1,Graduate,No,38662.0,41547.0,Yes,299,120,0,Semiurban,N
Other,No,0,Graduate,No,39185.0,17924.0,Yes,428,240,1,Urban,N
Other,No,2,Graduate,No,10810.0,41753.0,Yes,194,180,0,Semiurban,N
Male,Yes,3,Not Graduate,No,54042.0,28492.0,Yes,674,120,1,Rural,Y
Male,No,1,Graduate,Yes,37883.0,46315.0,Yes,538,120,0,Rural,N
Other,No,0,Graduate,No,42349.0,32066.0,Yes,141,60,0,Urban,N
Female,No,3,Not Graduate,No,55215.0,22047.0,Yes,230,120,0,Urban,N
Other,No,0,Not Graduate,Yes,41419.0,6320.0,Yes,177,360,0,Urban,N
Other,No,1,Not Graduate,Yes,70342.0,49270.0,Yes,327,360,1,Urban,Y
Other,No,2,Not Graduate,No,27871.0,14700.0,Yes,308,360,0,Semiurban,N
Other,No,1,Not Graduate,No,51991.0,14284.0,Yes,624,60,1,Semiurban,Y
Female,No,2,Graduate,Yes,50136.0,28993.0,Yes,533,300,1,Urban,Y
Male,No,0,Graduate,Yes,74029.0,32847.0,Yes,351,180,1,Urban,Y
Female,Yes,0,Not Graduate,Yes,35548.0,11489.0,Yes,261,180,0,Urban,N
Female,Yes,2,Graduate,No,7650.0,17673.0,Yes,537,120,1,Urban,N
Female,Yes,3,Graduate,Yes,60278.0,32991.0,Yes,533,240,0,Semiurban,Y
Female,No,3,Graduate,No,47835.0,12859.0,Yes,697,360,0,Rural,N
Male,No,2,Graduate,Yes,19225.0,11015.0,Yes,600,240,1,Rural,Y
Male,Yes,0,Not Graduate,No,48360.0,43974.0,Yes,512,120,0,Semiurban,Y
Female,Yes,3,Not Graduate,No,69328.0,38447.0,Yes,399,240,0,Urban,N
Female,No,2,Not Graduate,Yes,56343.0,19024.0,Yes,352,120,0,Semiurban,N
Male,Yes,1,Graduate,Yes,67008.0,13096.0,Yes,467,360,0,Semiurban,Y
Male,No,0,Not Graduate,No,60573.0,25562.0,Yes,117,360,1,Rural,Y
Male,Yes,1,Not Graduate,Yes,54932.0,14202.0,Yes,106,180,0,Semiurban,N
Other,Yes,0,Graduate,No,23881.0,1023.0,Yes,519,240,1,Urban,Y
Other,Yes,3,Not Graduate,No,36557.0,25848.0,Yes,202,240,1,Semiurban,N
Other,No,1,Not Graduate,Yes,72730.0,1779.0,Yes,250,240,0,Rural,N
Female,No,1,Not Graduate,Yes,64324.0,44890.0,Yes,648,240,0,Rural,N
Other,Yes,2,Graduate,No,23841.0,48548.0,Yes,88,60,1,Rural,Y
Female,No,3,Not Graduate,No,16475.0,10426.0,Yes,561,300,1,Semiurban,N
Female,No,3,Not Graduate,No,9671.0,12536.0,Yes,297,180,0,Urban,N
Other,No,0,Not Graduate,No,63584.0,11351.0,Yes,163,180,1,Urban,Y
Female,No,2,Graduate,No,34764.0,3983.0,Yes,427,300,0,Urban,N
Other,Yes,2,Graduate,No,56787.0,46873.0,Yes,184,60,1,Rural,Y
Other,No,0,Not Graduate,Yes,8961.0,41983.0,Yes,172,240,1,Rural,N
Male,No,1,Not Graduate,Yes,58890.0,14581.0,Yes,644,300,0,Rural,N
Other,Yes,0,Not Graduate,Yes,66884.0,48030.0,Yes,262,60,1,Urban,Y
Male,No,0,Graduate,No,8155.0,15770.0,Yes,551,240,1,Rural,Y
Other,No,0,Graduate,No,68768.0,7385.0,Yes,224,300,1,Rural,Y
Other,No,2,Not Graduate,Yes,63851.0,22542.0,Yes,324,180,0,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,12221.0,20223.0,Yes,285,300,0,Rural,N
Other,No,0,Graduate,No,5711.0,35504.0,Yes,220,120,1,Urban,Y
Female,No,3,Not Graduate,No,15531.0,19158.0,Yes,469,240,1,Urban,Y
Male,Yes,1,Graduate,No,13480.0,25067.0,Yes,586,300,0,Semiurban,N
Female,Yes,1,Not Graduate,Yes,43708.0,10051.0,Yes,146,240,1,Urban,N
Female,Yes,1,Not Graduate,Yes,15191.0,25523.0,Yes,70,360,0,Urban,N
Female,No,1,Graduate,Yes,62949.0,25167.0,Yes,339,240,1,Rural,Y
Male,No,2,Not Graduate,No,70658.0,35502.0,Yes,671,300,0,Semiurban,N
Female,Yes,2,Not Graduate,Yes,24051.8,32570.0,Yes,131,240,0,Rural,N
Male,No,0,Not Graduate,Yes,74190.0,1492.0,Yes,156,60,0,Rural,N
Female,No,2,Not Graduate,No,69708.0,41907.0,Yes,335,120,1,Semiurban,Y
Other,No,1,Not Graduate,No,10317.0,26151.0,Yes,670,120,0,Urban,Y
Other,No,3,Not Graduate,Yes,59896.0,682.0,Yes,599,300,1,Semiurban,Y
Male,No,0,Not Graduate,No,3159.0,25204.0,Yes,380,300,1,Rural,Y
Other,No,0,Graduate,Yes,60115.0,20866.0,Yes,181,240,1,Semiurban,Y
Other,No,1,Graduate,No,70665.0,46662.0,Yes,388,180,1,Urban,Y
Female,Yes,1,Not Graduate,No,22462.0,21131.0,Yes,270,120,0,Semiurban,Y
Male,Yes,1,Graduate,No,5917.0,44714.0,Yes,126,120,0,Rural,N
Female,Yes,2,Not Graduate,No,22397.0,32868.0,Yes,654,360,0,Rural,N
Female,Yes,0,Not Graduate,No,29125.0,1093.0,Yes,641,360,0,Rural,N
Female,Yes,1,Graduate,No,74862.0,13485.0,Yes,99,180,1,Rural,N
Female,Yes,3,Not Graduate,Yes,63729.0,10683.0,Yes,392,120,0,Urban,N
Female,Yes,0,Not Graduate,Yes,50277.0,20156.0,Yes,381,300,0,Semiurban,N
Female,Yes,0,Graduate,Yes,17349.0,41392.0,Yes,343,120,1,Semiurban,N
Female,Yes,2,Graduate,No,63715.0,5334.0,Yes,201,300,1,Semiurban,Y
Male,No,0,Graduate,No,37728.0,33304.0,Yes,144,300,1,Urban,Y
Other,No,1,Graduate,Yes,33792.0,49752.0,Yes,430,180,1,Semiurban,N
Female,Yes,1,Graduate,Yes,10902.0,42626.0,Yes,489,120,1,Semiurban,Y
Female,No,3,Graduate,Yes,38158.0,35523.0,Yes,370,240,0,Urban,N
Female,No,0,Not Graduate,No,6917.0,8510.0,Yes,139,120,1,Rural,Y
Female,Yes,0,Graduate,Yes,15620.0,15645.0,Yes,578,120,0,Rural,Y
Female,Yes,2,Graduate,Yes,27691.0,23900.0,Yes,332,60,1,Urban,Y
Female,Yes,1,Not Graduate,Yes,73734.0,31107.0,Yes,394,360,0,Urban,Y
Other,No,1,Graduate,No,25386.0,44692.0,Yes,401,240,0,Urban,N
Female,Yes,0,Not Graduate,Yes,14271.0,34295.0,Yes,482,240,0,Semiurban,Y
Other,No,0,Not Graduate,Yes,24526.0,24646.0,Yes,363,240,1,Semiurban,Y
Male,No,3,Not Graduate,No,46798.0,443.0,Yes,429,300,1,Urban,Y
Female,No,0,Not Graduate,No,28257.0,48417.0,Yes,306,180,0,Rural,N
Male,Yes,3,Not Graduate,No,60985.0,41346.0,Yes,446,360,1,Semiurban,Y
Male,No,3,Not Graduate,No,56130.0,5674.0,Yes,306,300,1,Rural,Y
Female,No,1,Not Graduate,No,29645.0,37963.0,Yes,208,240,0,Semiurban,N
Other,No,3,Graduate,Yes,27189.0,1869.0,Yes,252,300,0,Rural,N
Male,No,0,Not Graduate,Yes,57791.8,42971.0,Yes,462,300,1,Urban,N
Male,No,0,Not Graduate,Yes,61524.0,44311.0,Yes,74,240,1,Semiurban,Y
Male,Yes,2,Graduate,No,32717.0,16663.0,Yes,67,360,1,Urban,Y
Male,Yes,2,Not Graduate,No,66238.0,770.0,Yes,546,180,1,Urban,Y
Other,No,3,Not Graduate,Yes,7819.0,21946.0,Yes,165,120,1,Rural,Y
Male,Yes,2,Graduate,No,59784.0,29000.0,Yes,198,120,1,Rural,Y
Male,No,2,Not Graduate,Yes,72836.0,1559.0,Yes,375,60,1,Rural,Y
Male,No,2,Not Graduate,No,49935.0,27073.0,Yes,70,120,1,Semiurban,Y
Other,No,1,Graduate,Yes,51429.0,44327.0,Yes,655,360,1,Rural,Y
Male,Yes,0,Graduate,No,6998.0,28123.0,Yes,197,300,1,Rural,Y
Male,No,3,Not Graduate,No,44750.0,6982.0,Yes,687,240,0,Semiurban,N
Other,No,2,Graduate,No,8180.0,18824.0,Yes,682,180,0,Rural,Y
